label,baseline,perf/a,perf/b,perf/expensive
0.38.1,1.117001484810604,30.984105999999993,41.98024499999997,
0.39.0,1.5594563067018081,34.71734000000001,48.27168299999989,
0.40.0,2.142511324258835,31.54817899999989,45.76311399999993,
0.41.0,1.5648758168908372,31.970060999999927,44.82805499999999,
0.38.1,1.3002225542454913,35.811330000000005,48.33030500000002,350.42986599999904
